cas,chemical_name,canonical_smiles,log_kow,water_solubility_mg_l,mw_g_mol,test,aster,irac_moa,efsa_selection_criteria,kramer_moa,test_moa_reduced,aster_moa_reduced,kramer_moa_reduced,efsa_moa_reduced,irac_moa_reduced
99990,4-Nitrotoluene,CC1=CC=C(C=C1)[N+]([O-])=O,2.37,361,137.13999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
999815,Chlormequat chloride,[Cl-].C[N+](C)(C)CCCl,-1.44,1000000,123.63,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99978,"N,N,4-Trimethylaniline",CN(C)C1=CC=C(C)C=C1,2.81,650,135.21,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99967,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,1.58,5000,138.12,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
999611,2-Hydroxypropyl acrylate,CC(O)COC(=O)C=C,0.35,1000000,130.13999999999999,Reactivity,Acrylate toxicity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99945,4-Methylbenzoic acid,CC1=CC=C(C=C1)C(O)=O,2.27,340,136.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99923,4-Aminoacetophenone,CC(=O)C1=CC=C(N)C=C1,0.83,3350,135.16999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99898,4-Isopropylphenol,CC(C)C1=CC=C(O)C=C1,2.9,1100,136.19999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99887,Cumidine,CC(C)C1=CC=C(N)C=C1,2.4900000000000002,655,135.21,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99876,p-Cymene,CC(C)C1=CC=C(C)C=C1,4.0999999999999996,23.4,134.22,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
99865,alpha-Terpinene,CC(C)C1=CC=C(C)CC1,4.25,5.92,136.24,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99854,gamma-Terpinene,CC(C)C1=CCC(C)=CC1,4.5,8.68,136.24,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
99821,p-Menthane,CC(C)C1CCC(C)CC1,5.56,0.28000000000000003,140.27000000000001,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
